기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복 및 신발	의복 및 신발	의복 및 신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설유지ㆍ보수	수도 및 주거관련 서비스	전기 가스 및 기타연료	계	가구 가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향 영상 사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품 조경용품 및 애완동물	오락 및 문화서비스	신문 서적 및 문방구	단체여행	계	유치원 및 초등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2010.01	구분	84.055	74.049	73.561	82.38	62.954	85.741	54.609	80.505	80.178	82.268	80.596	77.925	72.08	68.554	105.86	80.262	73.771	84.726	91.073	78.344	89.45	73.796	91.084	94.909	88.177	91.443	93.97	99.617	109.315	77.646	110.336	69.347	117.154	112.091	95.641	162.077	91.996	90.479	85.929	80.381	92.858	88.249	110.965	102.321	76.165	78.466	78.505	74.258	85.153	85.602	69.589	99.433
2010.02	구분	84.225	74.51	74.018	82.38	62.954	85.741	54.609	80.424	80.017	82.186	80.922	78.083	72.08	70.392	105.86	80.589	73.771	84.726	91.346	80.018	89.362	74.028	91.175	95.004	88.266	91.535	93.59	99.418	108.868	77.412	110.336	69.347	117.154	112.091	95.738	159.41	91.996	90.925	86.016	80.381	93.944	88.249	110.965	102.321	76.165	79.029	79.229	72.83	85.239	85.516	70.575	99.433
2010.03	구분	84.566	75.046	74.628	82.463	62.891	85.398	54.609	80.424	80.098	81.941	80.922	78.32	71.864	68.826	105.967	81.979	73.326	84.726	91.165	80.097	88.738	77.883	91.175	95.004	88.266	91.627	94.35	99.319	110.88	77.412	109.678	69.347	117.154	111.422	95.641	159.41	91.996	88.245	86.536	81.696	92.759	89.5	118.039	103.353	77.012	79.43	79.55	73.13	84.982	85.516	68.885	99.333
2010.04	구분	84.906	76.349	75.924	83.049	62.954	85.654	54.609	80.424	80.098	82.023	80.922	78.478	72.008	68.349	105.967	81.489	73.326	84.726	91.165	77.547	88.738	77.344	91.266	95.099	88.266	91.627	95.015	99.418	112.109	77.646	109.678	69.347	117.154	111.422	96.029	158.782	91.996	89.854	86.71	81.696	93.944	89.589	119.454	103.353	77.088	79.993	80.114	74.182	84.811	85.429	68.885	99.035
2010.05	구분	84.906	75.583	75.086	83.802	62.954	85.654	54.609	80.505	80.259	81.86	81.167	78.715	71.936	68.349	105.967	81.734	73.994	84.726	90.983	79.699	88.738	77.344	91.175	94.909	88.266	91.627	95.205	99.418	112.333	77.646	109.678	69.347	117.154	111.422	96.416	156.742	91.996	89.407	86.796	81.777	96.81	89.589	119.454	103.353	77.088	80.314	80.435	74.182	85.239	85.429	71.068	99.035
2010.06	구분	84.736	74.51	73.942	83.551	62.954	85.826	54.609	80.99	80.743	82.023	81.167	78.951	71.936	67.328	105.967	81.734	73.994	84.726	90.892	79.858	88.738	77.344	91.266	95.099	88.354	91.718	94.92	99.418	111.773	77.569	109.678	69.347	117.154	111.422	96.029	155.801	92.088	88.245	86.883	81.777	96.019	89.589	119.454	103.353	77.088	80.394	80.516	74.858	85.41	85.689	71.068	99.135
2010.07	구분	84.991	74.816	74.247	84.221	62.891	85.483	54.609	81.07	80.743	82.593	81.248	79.109	72.008	67.124	105.967	81.489	73.994	84.726	89.893	80.097	89.005	77.266	91.266	94.909	88.354	92.178	95.585	99.418	112.668	78.426	109.678	69.347	117.154	111.422	97.966	155.487	92.088	88.871	86.883	82.434	104.514	89.68	119.454	103.353	77.166	80.475	80.597	76.662	85.838	86.551	71.068	98.936
2010.08	구분	85.417	76.733	76.229	84.221	62.954	85.826	54.609	81.07	80.743	82.593	81.492	79.188	72.008	67.669	106.609	82.06	74.735	86.78	90.347	80.337	89.094	77.575	91.45	95.289	88.443	92.178	95.681	99.518	112.444	78.894	109.678	69.347	117.154	111.422	98.258	155.331	91.628	88.782	86.883	82.598	105.996	89.68	119.454	103.353	77.166	80.555	80.677	75.986	85.838	86.638	70.787	98.936
2010.09	구분	86.183	81.025	80.803	84.389	63.017	85.912	54.609	81.151	80.743	83.163	82.062	79.267	72.008	67.396	109.814	82.224	74.735	86.78	90.347	80.257	89.184	78.037	91.541	95.384	88.443	92.178	94.825	99.418	110.991	78.271	109.678	69.347	117.154	111.422	98.354	155.487	91.996	89.229	86.883	83.42	105.008	89.769	119.454	103.456	77.243	80.957	81.079	74.858	86.438	87.415	70.787	99.731
2010.10	구분	86.183	80.641	80.422	84.305	63.017	86.083	54.609	80.99	80.743	81.778	82.225	79.504	72.008	67.669	109.814	82.224	74.735	86.78	91.436	79.141	89.184	77.575	91.266	94.53	88.443	92.27	95.11	98.922	111.886	78.271	109.678	69.347	117.154	111.422	97.676	155.644	91.996	89.407	87.057	83.42	101.452	89.769	119.454	103.456	77.243	81.357	81.401	77.113	86.095	87.328	69.096	99.632
2010.11	구분	85.758	78.342	77.983	84.556	63.017	86.083	54.609	80.424	81.711	72.33	81.981	79.741	72.08	67.669	107.143	82.469	74.735	86.78	90.802	78.822	89.005	78.655	91.175	94.339	88.443	92.27	95.205	98.823	112.444	78.037	109.678	69.347	117.154	111.422	97.676	155.173	91.996	88.961	87.491	82.845	101.452	89.769	119.454	103.456	77.319	81.438	81.561	78.541	86.524	87.328	71.42	99.731
2010.12	구분	86.013	78.189	77.754	85.142	62.891	85.483	54.609	81.96	81.792	82.838	82.225	80.056	72.08	67.6	107.143	82.469	74.735	86.78	90.074	82.01	89.005	78.423	91.266	94.53	88.443	92.27	96.725	99.021	115.686	78.426	109.019	69.347	117.154	110.643	97.385	153.447	91.996	89.586	87.491	83.009	100.761	89.858	119.454	103.456	77.397	81.438	81.561	75.46	86.524	87.328	72.124	99.532
2011.01	구분	86.95	81.102	80.803	85.56	62.891	85.569	54.609	82.04	81.873	82.675	82.957	80.373	72.08	68.826	109.814	83.123	76.366	86.78	90.166	81.372	89.005	79.503	92.088	94.909	89.591	93.097	98.15	99.915	118.592	78.738	109.019	69.347	117.154	110.643	98.354	153.133	91.812	90.211	88.966	83.009	102.736	90.215	119.454	103.456	77.859	81.759	81.884	76.513	87.209	88.191	72.759	99.632
